original_species;corrected_species
Acanthurus nigroris;Acanthurus nigros
Amphiprion cf. chrysopterus;Amphiprion chrysopterus
Anthias mooreanus;Pseudanthias moorea
Anthias olivaceus;Pseudanthias olivaceus
Apogon novemfasciatus;Ostorhinchus novemfasciatus
Balitapus undulatus;Balistapus undulatus
Cantherhines sandwichiensis;Cantherhines pardalis
Caracanthus maculatus;Caracanthus unipinna
Carangoides ferdau;Ferdauia ferdau
Centropyge flavicauda;Centropyge fisheri
Centropyge loricula;Centropyge loriculus
Chlorurus sordidus;Chlorurus spilurus
Chromis acares;Pycnochromis acares
Chromis agilis;Pycnochromis agilis
Chromis iomelas;Pycnochromis iomelas
Chromis margaritifer;Pycnochromis margaritifer
Chromis vanderbilti;Pycnochromis vanderbilti
Chrysiptera brownriggii;Chrysiptera leucopoma
Coryphopterus duospilus;Fusigobius duospilus
Coryphopterus neophytus;Fusigobius neophytus
Dascyllus reticulatus;Dascyllus flavicaudus
Gymnothorax cf. formosus;Gymnothorax formosus
Himantura fai;Pateobatis fai
Lethrinus microdon;Lethrinus olivaceus
Liza vaigiensis;Ellochelon vaigiensis
Moolgarda engeli;Osteomugil engeli
Nemateleotris magnifica;Nemateleotris magnifica
Platax orbicularis;Platax orbicularis
Platybelone argala;Platybelone argalus
Plectroglyphidodon lacrymatus;Stegastes lacrymatus
Pseudanthias pascalus;Mirolabrichthys pascalus
Pseudojuloides cerasinus;Pseudojuloides polynesica
Saurida gracilis;Saurida nebulosa
Scarus juv;Scarus sp
Scarus juv.;Scarus sp
Scarus spinus;Chlorurus spilurus
Stegastes cf. fasciolatus;Plectroglyphidodon fasciolatus
Stegastes fasciolatus;Plectroglyphidodon fasciolatus
Stethojulis strigiventer;Stethojulis bandanensis
Sufflamen fraenatus;Sufflamen fraenatum
Xyrichthys pavo;Iniistius pavo
Zebrasoma veliferum;Zebrasoma velifer
